FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
1;8;dag;88;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;10;min;15;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;30;min;20;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;60;min;25;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;2;uur;30;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;4;uur;35;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;8;uur;41;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;12;uur;45;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;24;uur;54;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;2;dag;63;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;4;dag;77;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,5;8;dag;100;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;10;min;19;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;30;min;26;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;60;min;32;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;2;uur;38;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;4;uur;44;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;8;uur;51;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;12;uur;56;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;24;uur;67;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;2;dag;77;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;4;dag;91;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,2;8;dag;117;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;10;min;22;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;30;min;31;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;60;min;38;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;2;uur;45;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
